code,status,validity_days
ALPHA-33H9-KEBW,unused,30
ALPHA-S0JA-QLVT,unused,30
ALPHA-OYOD-1JNP,unused,30
ALPHA-0JFJ-T3PS,unused,30
ALPHA-C6X2-0KP1,unused,30
ALPHA-33PJ-5WVG,unused,30
ALPHA-ZYMS-MQBF,unused,30
ALPHA-PLXU-H0J9,unused,30
ALPHA-73KZ-U6LZ,unused,30
ALPHA-I5N2-RG7B,unused,30
ALPHA-L9AT-NS3Y,unused,30
ALPHA-MB9S-WTEZ,unused,30
ALPHA-KDID-38SA,unused,30
ALPHA-LLEZ-XSQW,unused,30
ALPHA-CHSX-3V46,unused,30
ALPHA-PS8I-ZWPD,unused,30
ALPHA-EFAY-1TV1,unused,30
ALPHA-BO2H-9G8D,unused,30
ALPHA-VWIH-M646,unused,30
ALPHA-EXST-PG58,unused,30
ALPHA-ZSCG-CC7L,unused,30
ALPHA-BZFM-M0EO,unused,30
ALPHA-BGT7-JTNJ,unused,30
ALPHA-HNSL-QXPN,unused,30
ALPHA-Q8E9-SY7M,unused,30
ALPHA-0TDB-K240,unused,30
ALPHA-LMWE-MSLQ,unused,30
ALPHA-18U3-JI1X,unused,30
ALPHA-2YBM-P3C5,unused,30
ALPHA-H2SJ-WNXU,unused,30
ALPHA-27TV-EQ4H,unused,30
ALPHA-SVS7-ICJW,unused,30
ALPHA-06O0-ZMMK,unused,30
ALPHA-QA4C-0FOE,unused,30
ALPHA-AKK4-NXF8,unused,30
ALPHA-Z43S-WRMO,unused,30
ALPHA-4EOV-UOXZ,unused,30
ALPHA-LM06-97P7,unused,30
ALPHA-42NT-GP7C,unused,30
ALPHA-HQ2N-TR1Y,unused,30
ALPHA-3FJK-GJZF,unused,30
ALPHA-Y4SC-44KT,unused,30
ALPHA-5PXW-FZOY,unused,30
ALPHA-AVEN-OJ9P,unused,30
ALPHA-IVL2-1A7N,unused,30
ALPHA-DG3E-7R6A,unused,30
ALPHA-FRN3-VXW4,unused,30
ALPHA-C1V3-J894,unused,30
ALPHA-NLL2-725M,unused,30
ALPHA-RWBJ-ECRR,unused,30
ALPHA-MYN1-B97H,unused,30
ALPHA-4MCZ-ETRH,unused,30
ALPHA-OA3O-ZDZM,unused,30
ALPHA-QQGO-2T32,unused,30
ALPHA-MY8F-1LXW,unused,30
ALPHA-TCZT-Q2HH,unused,30
ALPHA-AV4P-CF4H,unused,30
ALPHA-EILY-MCLY,unused,30
ALPHA-MC4D-1DVI,unused,30
ALPHA-CXRL-EXHN,unused,30
ALPHA-KMYM-UKYX,unused,30
ALPHA-PMSH-PXPC,unused,30
ALPHA-OF2M-6S2C,unused,30
ALPHA-ZDGZ-DUQP,unused,30
ALPHA-T2JF-DBZF,unused,30
ALPHA-VG7N-Z90U,unused,30
ALPHA-JSH3-UXNZ,unused,30
ALPHA-OBO3-KPZI,unused,30
ALPHA-M7BL-216L,unused,30
ALPHA-JM9Q-O0EK,unused,30
ALPHA-PF09-OZPP,unused,30
ALPHA-NZ1Q-Z90H,unused,30
ALPHA-5TBG-IZ56,unused,30
ALPHA-AFD9-PKAF,unused,30
ALPHA-JE9W-8QC5,unused,30
ALPHA-PFVK-U3C2,unused,30
ALPHA-CABZ-LOBK,unused,30
ALPHA-X8UV-0I69,unused,30
ALPHA-OOE2-JMVN,unused,30
ALPHA-LUPP-CSOH,unused,30
ALPHA-RJQW-7STY,unused,30
ALPHA-WOLN-MRWO,unused,30
ALPHA-TXST-KIGE,unused,30
ALPHA-6II2-9AHC,unused,30
ALPHA-D3NM-0HY8,unused,30
ALPHA-Z49K-2S3Q,unused,30
ALPHA-UL8N-UJIK,unused,30
ALPHA-IDPI-MVJG,unused,30
ALPHA-HEBI-19XP,unused,30
ALPHA-EM4S-OJH5,unused,30
ALPHA-5IFB-DJFV,unused,30
ALPHA-HBXX-UIGU,unused,30
ALPHA-4XCB-0HBS,unused,30
ALPHA-OXCK-8C80,unused,30
ALPHA-NE3V-J3BZ,unused,30
ALPHA-29X0-4AB5,unused,30
ALPHA-RIQL-JW4H,unused,30
ALPHA-I0XT-DT1I,unused,30
ALPHA-5F2J-OMAA,unused,30
ALPHA-0WPQ-ZR9F,unused,30
ALPHA-M44Y-O45O,unused,30
ALPHA-6UGG-F7WX,unused,30
ALPHA-OXIT-4O69,unused,30
ALPHA-2YEL-YHFY,unused,30
ALPHA-6VP0-S4NM,unused,30
ALPHA-QSBV-LEU9,unused,30
ALPHA-MUWH-RKDY,unused,30
ALPHA-CPWA-VH1I,unused,30
ALPHA-6UE5-R00U,unused,30
ALPHA-D0EK-FMUQ,unused,30
ALPHA-2H71-A74B,unused,30
ALPHA-S1GL-C043,unused,30
ALPHA-T8WN-7X7O,unused,30
ALPHA-JACZ-1VSB,unused,30
ALPHA-WKIW-9HX5,unused,30
ALPHA-JUZ8-9Z8F,unused,30
ALPHA-MJJI-SKJV,unused,30
ALPHA-MD3A-FZD4,unused,30
ALPHA-N89S-7195,unused,30
ALPHA-D6SU-WPZ0,unused,30
ALPHA-4OGY-3MZ2,unused,30
ALPHA-U895-R0BV,unused,30
ALPHA-LHCV-M9L3,unused,30
ALPHA-GPVM-24S6,unused,30
ALPHA-S6M7-VM3R,unused,30
ALPHA-MD7T-I62J,unused,30
ALPHA-AFM7-NHDB,unused,30
ALPHA-ZMFQ-WEGP,unused,30
ALPHA-K7Q8-G1BI,unused,30
ALPHA-N0IV-4UO8,unused,30
ALPHA-T0PE-AO4Q,unused,30
ALPHA-X5G8-FFAO,unused,30
ALPHA-WG4G-JBNQ,unused,30
ALPHA-ZIIT-UU57,unused,30
ALPHA-AGJ7-DDRZ,unused,30
ALPHA-0I9P-ZEP5,unused,30
